"Variable","Importance"
"PPT1",0
"RLF",0
"TMCO2",0
"ZMPSTE24",0
"COL9A2",0
"SMAP2",0
"ZFP69B",0
"ZFP69",0
"EXO5",-2.29697688203911e-05
"ZNF684",0
"RIMS3",0
"NFYC",0
"MIR30E",0.000348251333728513
"MIR30C1",1.11144042679312e-05
"KCNQ4",0
"RN7SL326P",-0.000134854771784233
"CITED4",0
"CTPS1",0
"SLFNL1",0
"SCMH1",0
"FOXO6",0
"RNA5SP45",-0.000265263781861293
"EDN2",0
"HIVEP3",0
"GUCA2B",0
"GUCA2A",0
"FOXJ3",0
"RIMKLA",0.000270450503852994
"ZMYND12",-0.000285269709543569
"PPCS",0
"CCDC30",0
"PPIH",0
"YBX1",0
"CLDN19",0
"LEPRE1",0
"C1orf50",0
"CCDC23",0
"ERMAP",0
"ZNF691",0
"SLC2A1",0.000220806164789567
"FAM183A",0
"EBNA1BP2",0
"WDR65",-0.000195613515115589
"RNA5SP46",0
"TMEM125",0
"C1orf210",0
"TIE1",0
"MPL",0
"CDC20",0
"ELOVL1",0
"MED8",0
"SZT2",0.000126704208654416
"HYI",0
"PTPRF",0
"KDM4A",0
"ST3GAL3",8.29875518672196e-05
"ARTN",0
"IPO13",0
"DPH2",0
"ATP6V0B",0
"B4GALT2",0
"CCDC24",0
"SLC6A9",0
"KLF17",0
"RN7SL479P",0
"DMAP1",0
"ERI3",0
"RNF220",0
"MIR5584",0
"TMEM53",0.000742442205097806
"C1orf228",0
"KIF2C",0.000286751630112626
"BEST4",0
"BTBD19",0
"PLK3",0
"RPS8",-0.000487551867219916
"SNORD38A",3.03793716656786e-05
"SNORD38B",0
"SNORD55",-0.00013633669235329
"TCTEX1D4",0
"PTCH2",0
"EIF2B3",0
"RNA5SP47",0
"HECTD3",-0.000480883224659159
"UROD",-0.000291197391819799
"ZSWIM5",0.000131149970361589
"HPDL",0.000174866627148785
"MUTYH",0
"TESK2",0
"TOE1",0
"CCDC163P",0
"MMACHC",0
"PRDX1",0
"AKR1A1",0.00053941908713693
"NASP",0
"CCDC17",0
"GPBP1L1",0
"TMEM69",0
"IPP",0
"MAST2",-8.00237107291046e-05
"PIK3R3",0
"TSPAN1",0
"POMGNT1",0
"LURAP1",-0.000128927089508003
"RAD54L",0.000163752222880853
"LRRC41",0
"UQCRH",-3.40841730883223e-05
"NSUN4",0
"FAAH",-0.000406787196206283
"LINC00505",0
"DMBX1",-0.000256372258446947
"KNCN",0
"MKNK1",0
"MOB3C",0
"ATPAF1",0
"EFCAB14",0
"TEX38",0
"CYP4B1",0
"CYP4Z2P",0.000500889152341434
"CYP4A11",0
"CYP4X1",0
"CYP4Z1",0
"CYP4A22",0.000282305868405452
"LINC00853",0
